,author,title,top_article,engagement_reaction_count,engagement_comment_count,engagement_share_count,engagement_comment_plugin_count,title_embedding_1,title_embedding_2,title_embedding_3,title_embedding_4,title_embedding_5,title_embedding_6,title_embedding_7,title_embedding_8,title_embedding_9,title_embedding_10,content_embedding_1,content_embedding_2,content_embedding_3,content_embedding_4,content_embedding_5,content_embedding_6,content_embedding_7,content_embedding_8,content_embedding_9,content_embedding_10,content_embedding_11,content_embedding_12,content_embedding_13,content_embedding_14,content_embedding_15,content_embedding_16,content_embedding_17,content_embedding_18,content_embedding_19,content_embedding_20,content_embedding_21,content_embedding_22,content_embedding_23,content_embedding_24,content_embedding_25,content_embedding_26,content_embedding_27,content_embedding_28,content_embedding_29,content_embedding_30,content_embedding_31,content_embedding_32,content_embedding_33,content_embedding_34,content_embedding_35,content_embedding_36,content_embedding_37,content_embedding_38,content_embedding_39,content_embedding_40,content_embedding_41,content_embedding_42,content_embedding_43,content_embedding_44,content_embedding_45,content_embedding_46,content_embedding_47,content_embedding_48,content_embedding_49,content_embedding_50,publish_harvest_time_period,source_id_abc-news,source_id_al-jazeera-english,source_id_bbc-news,source_id_business-insider,source_id_cbs-news,source_id_cnn,source_id_espn,source_id_newsweek,source_id_reuters,source_id_the-irish-times,source_id_the-new-york-times,source_id_the-wall-street-journal,engagement_in_time
0,1.2277667053475005,Swine fever: New Indonesian festival celebrates pigs,0,-0.18963074795368534,-0.21520988023229345,-0.3457631713524822,-0.07898785734014706,0.060308453,-0.09273983,0.33170116,0.16267999,0.04574946,0.09795412,0.03948489,0.17723896,0.08353898,-0.1284233,0.038671575,0.023947459,0.014574161,0.24465896,-0.080589555,0.1583586,0.14528738,0.13911201,0.027245283,-0.086828716,-0.0589125,0.0007418574000000001,-0.007906726999999999,-0.07633649,-0.16572239,0.059488554000000006,-0.22956686,-0.0009103229,0.020665573,-0.19283384,-0.18157424,-0.14862409,-0.37173259999999997,0.029655683999999998,0.11111642,0.07028795,0.15151694,0.3700375,-0.020101335,-0.31304297,-0.03562033,-0.06759392,-0.014348163,0.15954514,-0.13671954,0.16376612,-0.17502001,0.27283704,0.054577537,-0.51732516,0.031568315,-0.004115807,0.10488894,-0.04505326,0.06631455,0.027342686,-0.49395812,-0.19286104,0.27859336,-0.28512117,1.4308750003324004,2.564945880212885,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,-0.3116774889895918,-0.3597384670922507,-0.05902813361009552,-0.32816506165694687,-0.32490955481484507,-0.3957606676061889,-0.3378164037322061,-0.15195586907272887,-0.27207340418607157
1,-1.2945288549752,Indian court rules in favor of Hindus in dispute at heart of tension,1,-0.2029949309324862,-0.22930488754890213,-0.36293633108262763,-0.07898785734014706,0.027294349,-0.073162,0.41725644,0.37132129999999997,-0.016778071999999998,0.08519181,-0.031077387,0.26688313,0.12490559,-0.19566789999999998,0.056359574,0.10396418,0.20284325,0.6716171,-0.12008526,-0.013508073,0.16078047,0.11107954,0.13301961,0.017551957,-0.019746125,0.24784671,-0.42017454,-0.25157976,-0.4450385,-0.12603599,-0.43560020000000005,-0.038024224,0.066131175,0.21577275,-0.41235656,0.034060687,-0.32536688,-0.106540866,0.3669382,-0.24517365,-0.17032656,0.060036186,0.056137264000000006,-0.053518567,0.02096148,0.01803657,0.20408876,-0.18984692,-0.053742405,0.05350709,-0.2381971,0.07535898,-0.07345763,-0.51147455,0.02715338,0.07642808,0.4896249,-0.23054335,-0.13456427,-0.042285465,-0.23499029999999999,-0.19477028,-0.17726731,-0.30752504,-1.0051141392360334,-0.38987177379235854,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,3.208444739598739,-0.3597384670922507,-0.05902813361009552,-0.32816506165694687,-0.32490955481484507,-0.3957606676061889,-0.3378164037322061,-0.15195586907272887,-0.281715707712706
2,1.0075662992875822,Instagram will test hiding US users' likes,0,-0.19285658522443036,-0.20894543253602293,-0.29179038362916787,-0.07898785734014706,0.17058316,-0.19454236,0.94650465,0.5778719,0.040436692999999996,0.38939932,-0.036873054,0.54240376,0.45087597,-0.35424337,0.004700949,-0.004936698,0.00038019515,0.023342151000000002,0.008970311,0.016730782,0.011712828,0.004427199000000001,-0.002626092,-0.0074495613,-0.007742171999999999,-0.005558498,0.012367336000000001,-0.0074215243,-0.011584735,-0.002262396,-0.009832361,-0.009505919,0.0032920826,-0.02261014,-0.011062751499999999,-5.2288535e-05,-0.019579265,0.0060854535999999996,0.01374864,-0.00041186010000000004,0.02250256,0.018277464,0.0039623079999999995,-0.027382378,0.0071111014,0.0020384870000000003,0.014228946499999999,0.0027593393,-0.009114855,0.020950051,-0.022351636,0.02066332,-0.0030923844,-0.026389102,0.0047030845,-0.0017502735,0.011644601999999999,0.0039658244,0.0075664776000000005,-0.00193738,-0.03492887,-0.0042313286,0.015919372,-0.0030220635,-0.9123913627581877,-0.38987177379235854,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,-0.3116774889895918,2.7797972457128464,-0.05902813361009552,-0.32816506165694687,-0.32490955481484507,-0.3957606676061889,-0.3378164037322061,-0.15195586907272887,-0.2514930374003427
4,1.2277667053475005,Lebanon's president meets bankers amid liquidity crisis,0,-0.2029949309324862,-0.22930488754890213,-0.36048302254974973,-0.07898785734014706,0.10088144,-0.11025078,0.46754023,0.2796046,-0.012253461,0.164802,0.019203544,0.34573188,0.24173953,-0.16621295,0.14300035,0.040768277,-0.02303386,0.17144269,-0.14247699,0.18146269,0.1832345,0.13255225,0.044975083,-0.15077999,-0.031830423,-0.11278244,-0.11852943,-0.11114276,-0.12018207,-0.02970441,-0.23107347,-0.018715972,0.041531187000000004,-0.023150302,-0.26090127,-0.052233282,-0.35574237,0.021387082,0.099253565,0.10886324,0.073905714,0.25941578,-0.095121995,-0.23715837,0.011213148999999999,-0.088009454,-0.013045196,-0.027548606,-0.1849556,0.049358967999999996,-0.14026465,0.27669582,0.013545155500000001,-0.39404556,0.04003264,0.012787254,0.027235784,-0.010234507,0.03956549,0.18617573,-0.40650567,-0.2818786,0.2261609,-0.27435908,-0.7475842668035072,2.564945880212885,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,-0.3116774889895918,-0.3597384670922507,-0.05902813361009552,-0.32816506165694687,-0.32490955481484507,-0.3957606676061889,-0.3378164037322061,-0.15195586907272887,-0.281715707712706
5,1.0776300648521018,"Are Banks Open on Veterans Day? Bank of America, Chase, Wells Fargo, Citigroup and More",0,-0.2029949309324862,-0.22930488754890213,-0.3678429481483835,-0.07898785734014706,0.22192845,-0.40946484,1.6325583000000001,0.93364924,-0.04818528,0.6956171,0.015091488,0.97811425,0.68720263,-0.57613665,0.10805073400000001,-0.03474465,-0.07915006599999999,0.28111947,-0.08324207,0.12683034,0.13857447,0.09712053,-0.012063461000000001,-0.08862891,-0.10698305,-0.0025959223999999998,0.08107863,-0.04419629,-0.11165619,0.055725813,-0.12034559,-0.031357206,0.1336596,-0.33371767,-0.11155928,-0.2067031,-0.31075440000000004,0.040047925,0.07671766,0.16692434,0.2845386,0.39000452,-0.0010324764,-0.43000479999999996,-0.0021489915,-0.14715646,-0.016985545,0.22511831,-0.12774295,0.20697755,-0.15794526,0.29420419999999997,0.110347,-0.5181140999999999,-0.040806193,0.09362196,0.0016031851,-0.11302725,0.08435921,-0.06092458,-0.40882403,-0.18059751,0.34544912,-0.19431327,0.031617671669152886,-0.38987177379235854,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,-0.3116774889895918,-0.3597384670922507,-0.05902813361009552,3.047247001100221,-0.32490955481484507,-0.3957606676061889,-0.3378164037322061,-0.15195586907272887,-0.281715707712706
6,-1.1544013238461612,"Mega Millions Results, Numbers for 11/08/2019: Did Anyone Win the $145 Million Jackpot on Friday Night?",0,-0.2029949309324862,-0.22930488754890213,-0.3653896396155056,-0.07898785734014706,0.114754096,-0.10715758,0.629541,0.3489275,-0.038574412,0.24754778,-0.029670067,0.30754188,0.29839879999999996,-0.18672612,0.09793198,-0.008203688,0.02010405,0.23469666,-0.06342162,0.14302917,0.16213968,0.100895524,0.027572924,-0.08864423,-0.06491875,0.05953643,-0.011770417,-0.055420954,-0.12047376,0.046589807000000004,-0.15928948,0.013553372,0.05769911,-0.15183356,-0.2045462,-0.08967636,-0.27746013,0.01938549,0.13363777,0.09362469999999999,0.15674742,0.32597104,-0.007412506700000001,-0.260058,-0.014998089,-0.053436215999999995,0.003993978,0.09906310000000002,-0.082499065,0.16714868,-0.17322268,0.17806026,0.049759097,-0.3984776,-0.016828967,0.023413911000000003,0.12902358,-0.06764343,0.018771535,-0.020293882,-0.37656972,-0.12717898,0.20751597,-0.17344847,0.30317367992760946,-0.38987177379235854,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,-0.3116774889895918,-0.3597384670922507,-0.05902813361009552,3.047247001100221,-0.32490955481484507,-0.3957606676061889,-0.3378164037322061,-0.15195586907272887,-0.281715707712706
7,-0.39370901200280706,The future of sustainable tourism may lie with all-inclusive resorts,0,-0.13709568383012333,-0.11497871709196515,-0.02192644501259643,-0.07898785734014706,0.13717853,-0.29774103,1.097849,0.6208954000000001,-0.023861857,0.47021568,0.02438908,0.62354213,0.45689836,-0.42742568,0.054876987,0.014998628,-0.012937359499999999,0.14867124,-0.074575506,0.09692439,0.11112467,0.041569915,0.023009846,-0.095746346,-0.06980252,0.016277786000000002,0.005266683,-0.043557282999999995,-0.08939077,0.036013756,-0.110905536,-0.0049778037,0.0044182586,-0.124531075,-0.15252274,-0.097505726,-0.28008953,0.0028024612,0.038955186,0.06798462599999999,0.12659925,0.23824911,-0.05475385,-0.22879943,0.010189321999999999,-0.02403724,0.019421939,0.045584306,-0.09786099,0.14445344,-0.16310889,0.16750176,0.045395803,-0.31552467,-0.0025131125,-0.005224115,0.07946462,0.009607784,-0.0068949927,0.0028792887,-0.31591305,-0.1443961,0.19280803,-0.16414042,0.4702850696251213,-0.38987177379235854,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,-0.3116774889895918,2.7797972457128464,-0.05902813361009552,-0.32816506165694687,-0.32490955481484507,-0.3957606676061889,-0.3378164037322061,-0.15195586907272887,-0.21273584988900276
8,1.2277667053475005,2 skiers die in avalanche in Austrian Alps,0,-0.2029949309324862,-0.22930488754890213,-0.36048302254974973,-0.07898785734014706,0.086210415,-0.059081152000000005,0.37328556,0.19148907,-0.009946603,0.19491726,-0.026821082000000003,0.19989486,0.13440233,-0.1766563,0.041725855,-0.028930936,-0.0066050530000000005,0.21859893,-0.038167607,0.22582704,0.14670964,0.09631851,-0.0024147770000000003,-0.052639375999999995,0.013365033,0.005494215,-0.054194927000000004,-0.052533276,-0.12995194,0.053652868,-0.20333979,-0.039542366,0.019203877,-0.032682646,-0.10479079,-0.055912286,-0.19276927,0.0020049836,0.14423624,0.068538845,0.1493297,0.18620159,0.04930972,-0.15780799,-0.11665989,-0.08038164,-0.046854064,0.037297934,-0.082536876,0.10171524400000001,-0.0596771,0.19204831,-0.03332902,-0.31966463,0.03162068,0.05818919,0.02125205,-0.07199773,0.023213128,0.033451717,-0.32650759999999995,-0.09760640599999999,0.18763693,-0.19568376,-1.009472260010519,2.564945880212885,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,-0.3116774889895918,-0.3597384670922507,-0.05902813361009552,-0.32816506165694687,-0.32490955481484507,-0.3957606676061889,-0.3378164037322061,-0.15195586907272887,-0.281715707712706
10,-0.663954964894525,"The Party Girl, Till the End",0,-0.02234804377076417,0.09801250458123252,-0.13968525459073672,-0.07898785734014706,0.13411985,-0.16273829999999997,0.8445431999999999,0.53216314,-0.022808947000000003,0.34078327,0.02128907,0.47675475,0.39543757,-0.28252333,0.09370954,-0.007200692,0.0056892876,0.2562223,-0.10217953,0.17186156,0.15461004,0.10502727,0.033078513999999996,-0.123103805,-0.10173498,0.012448603,0.007762159,-0.098304495,-0.16489416,0.06775991599999999,-0.20069936,0.0011659034,0.03476647,-0.22265542,-0.24013939999999998,-0.14855336,-0.41112134,0.04764908,0.08955005,0.12582004,0.18071952,0.38780820000000005,-0.046161484,-0.37058159999999996,0.0077193235,-0.068834946,-0.0025522362,0.10963777,-0.13859949,0.19826387,-0.21554875,0.29287994,0.08426446,-0.5467098000000001,0.012382107,0.0072961776,0.10522487,-0.02159805,0.034347996,0.028290302000000003,-0.50916135,-0.20982394,0.31486538,-0.30789724,0.022200123328885463,-0.38987177379235854,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,-0.3116774889895918,-0.3597384670922507,-0.05902813361009552,-0.32816506165694687,-0.32490955481484507,-0.3957606676061889,2.9601878089754337,-0.15195586907272887,-0.04227505763630955
11,1.2277667053475005,Virginia mother gets 20 years in starvation death of her son,0,-0.20207326314084476,-0.22930488754890213,-0.36048302254974973,-0.07898785734014706,0.12497179,-0.20383762,0.7621525,0.4911594,0.009834507,0.37080207,0.015534840500000001,0.5018775,0.3240022,-0.28932179999999996,0.15974952,0.017231531,-0.1501169,0.27394745,-0.07459487,0.28294759999999997,0.254865,0.13072303,-0.09139580000000001,-0.17455481,-0.032231763,0.04148979,-0.08176004,-0.08044447,-0.16426265,0.015334077,-0.24406329,-0.0937817,0.12853776,-0.11740975,-0.15112147,-0.23559678,-0.38961834,0.07402181599999999,0.26769996,0.17592023,0.23803638,0.35098094,-0.027161933,-0.37422922,-0.19336344,-0.13715395,-0.13226692,0.0059588705,-0.26729240000000004,0.1688914,-0.08720095,0.3369939,0.023782058,-0.47382334,0.03348035,0.044632588,0.010642361000000001,-0.06592615,-0.029543787000000002,0.0777202,-0.54267067,-0.19835992,0.44004706,-0.2572118,1.7774708352595843,2.564945880212885,-0.23025302035387957,-0.25046082988418183,-0.3314009499011366,-0.3116774889895918,-0.3597384670922507,-0.05902813361009552,-0.32816506165694687,-0.32490955481484507,-0.3957606676061889,-0.3378164037322061,-0.15195586907272887,-0.2811177586092193
