,0,author,content,description,engagement_comment_count,engagement_comment_plugin_count,engagement_reaction_count,engagement_share_count,published_at,source_id,source_name,title,top_article,url,url_to_image
source_id,espn,,,,,,,,,,,,,,
source_name,ESPN,,,,,,,,,,,,,,
author,Andrea AdelsonESPN Senior Writer ,,,,,,,,,,,,,,
title,Hurricane threat moves FSU-Boise to Tallahassee,,,,,,,,,,,,,,
description,"With a state of emergency already being declared in Florida due to the threat of Hurricane Dorian, the Florida State-Boise State game will be moved from Jacksonville to Tallahassee.",,,,,,,,,,,,,,
url,http://espn.go.com/college-football/story/_/id/27491624/hurricane-threat-moves-fsu-boise-tallahassee,,,,,,,,,,,,,,
urlToImage,https://a1.espncdn.com/combiner/i?img=%2Fphoto%2F2016%2F0502%2Fr79366_1296x729_16%2D9.jpg,,,,,,,,,,,,,,
publishedAt,2019-08-29T15:31:00Z,,,,,,,,,,,,,,
content,"The season opener between Florida State and Boise State has been moved from Jacksonville to Tallahassee because of the impending threat of Hurricane Dorian, Broncos coach Bryan Harsin confirmed Thursday.
Dorian is expected to impact the east coast of Florida… [+1109 chars]",,,,,,,,,,,,,,
top_article,1,,,,,,,,,,,,,,
engagement_reaction_count,,,,,,,,,,,,,,,
engagement_comment_count,,,,,,,,,,,,,,,
engagement_share_count,,,,,,,,,,,,,,,
engagement_comment_plugin_count,,,,,,,,,,,,,,,
source_id,espn,,,,,,,,,,,,,,
source_name,ESPN,,,,,,,,,,,,,,
author,,,,,,,,,,,,,,,
title,Updated and expanded ESPN+ fantasy football cheat sheet,,,,,,,,,,,,,,
description,Get all of our best fantasy intel compiled on a two-page printable cheat sheet to bring with you to your fantasy football drafts.,,,,,,,,,,,,,,
url,http://espn.go.com/fantasy/football/insider/story/_/id/27367030/updated-expanded-espn+-fantasy-football-cheat-sheet,,,,,,,,,,,,,,
urlToImage,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0811%2Fr582469_1296x729_16%2D9.jpg,,,,,,,,,,,,,,
publishedAt,2019-08-11T16:43:00Z,,,,,,,,,,,,,,
