,source_id,source_name,author,title,description,url,url_to_image,published_at,content,top_article,engagement_reaction_count,engagement_comment_count,engagement_share_count,engagement_comment_plugin_count
27,reuters,Reuters,Maqsood Alam,MIDEAST STOCKS-Saudi stocks fall as most of Gulf markets rise,"Saudi Arabian stocks fell on Sunday led
by banks, while most Gulf markets gained, mirroring Friday's
surge in global peers after talks between the United States and
China progressed towards a resolution of their trade war. 
    Saudi Arabia's index retreated …",https://www.reuters.com/article/mideast-stocks-idUSL3N26Y09G,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-10-13T13:52:51Z,,0,0.0,0.0,1.0,0.0
58,abc-news,ABC News,The Associated Press,Poles vote with ruling conservatives tipped for reelection,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/International/wireStory/poles-vote-ruling-conservatives-tipped-reelection-66240805,https://s.abcnews.com/images/International/WireAP_eb5fe54e7af74d8785c805631192e033_16x9_992.jpg,2019-10-13T05:24:10Z,"Poles have begun voting in a parliamentary election that the ruling party of Jaroslaw Kaczynski is favored to win easily, buoyed by the popularity of its social conservatism and generous social spending that have reduced poverty.
Law and Justice is the first… [+568 chars]",0,0.0,0.0,3.0,0.0
10,reuters,Reuters,Reuters Editorial,European Championship Qualification Results,"Oct 13 (OPTA) - Results and fixtures for the European Championship Qualification on Sunday (start times are CET)
 Qualifying Round
 ----------------------------------------------------
 Kazakhstan  (0)  0  Belgium          (1)  2
 Belarus          v  Netherla…",https://uk.reuters.com/article/soccer-euro-results-idUKMTZXEFADBILC41,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-10-13T14:51:12Z,,0,0.0,0.0,0.0,0.0
16,reuters,Reuters,Reuters Editorial,Congo to start using Johnson & Johnson Ebola vaccine in November,"Health authorities in Democratic Republic of Congo will introduce a Johnson & Johnson Ebola vaccine in November in the country's eastern provinces, to counter the current outbreak, they said.",https://www.reuters.com/article/us-health-ebola-congo-johnson-johnson-idUSKBN1WS0I5,https://s4.reutersmedia.net/resources/r/?m=02&d=20191013&t=2&i=1440392399&w=1200&r=LYNXMPEF9C0GX,2019-10-13T14:19:53Z,"KINSHASA (Reuters) - Health authorities in Democratic Republic of Congo will introduce a Johnson &amp; Johnson Ebola vaccine in November in the country’s eastern provinces, to counter the current outbreak, they said. 
The J&amp;J vaccine will complement anot… [+837 chars]",0,1.0,0.0,3.0,0.0
65,reuters,Reuters,Gopal Sharma,"Nepal pushes to end dependency on India with China rail, tunnel deals","Chinese President Xi Jinping wound up two days of meetings in Nepal on Sunday with separate deals for a rail link to Tibet and a tunnel, an official said, as the Himalayan nation seeks to end an Indian dominance over its trade routes by increasing connectivit…",https://www.reuters.com/article/us-nepal-china-xi-idUSKBN1WS0CA,https://s4.reutersmedia.net/resources/r/?m=02&d=20191013&t=2&i=1440359708&w=1200&r=LYNXMPEF9C0DR,2019-10-13T11:40:20Z,"KATHMANDU (Reuters) - Chinese President Xi Jinping wound up two days of meetings in Nepal on Sunday with separate deals for a rail link to Tibet and a tunnel, an official said, as the Himalayan nation seeks to end an Indian dominance over its trade routes by … [+1781 chars]",0,14.0,1.0,19.0,0.0
75,reuters,Reuters,William James,Brexit hangs in the balance as talks between EU and Britain intensify,"Brexit talks with the European Union aimed at striking a last-minute divorce deal are getting serious, Britain said on Sunday, as Prime Minister Boris Johnson prepared to update his cabinet on the state of negotiations.",https://www.reuters.com/article/uk-britain-eu-idUSKBN1WS0AQ,https://s4.reutersmedia.net/resources/r/?m=02&d=20191013&t=2&i=1440341926&w=1200&r=LYNXMPEF9C0BX,2019-10-13T10:36:40Z,"LONDON (Reuters) - Brexit talks with the European Union aimed at striking a last-minute divorce deal are getting serious, Britain said on Sunday, as Prime Minister Boris Johnson prepared to update his cabinet on the state of negotiations. 
In a pivotal week … [+4104 chars]",0,67.0,17.0,25.0,0.0
52,abc-news,ABC News,The Associated Press,Hong Kong protesters plan assemblies in 18 districts,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/International/wireStory/hong-kong-protesters-plan-assemblies-18-districts-66241375,https://s.abcnews.com/images/International/WireAP_3944c2c67cf74ee684a9fbc71130d294_16x9_992.jpg,2019-10-13T06:54:22Z,"Black-clad protesters calling for political reforms have started gathering in several Hong Kong districts.
The demonstrators congregated Sunday in shopping malls in Sha Tin and Tseun Wan holding umbrellas and wearing masks in defiance of a recently imposed b… [+559 chars]",0,0.0,0.0,3.0,0.0
14,cbs-news,CBS News,CBS News,Calendar: Week of October 14,"From Columbus Day (also celebrated as Indigenous Peoples Day) to the Great ShakeOut Earthquake Drill, ""Sunday Morning"" takes a look at some notable events of the week ahead. Jane Pauley reports.",https://www.cbsnews.com/video/calendar-week-of-october-14-2019/,https://cbsnews2.cbsistatic.com/hub/i/r/2019/10/13/ef5646b2-505c-4ec0-a144-bd4247b374d5/thumbnail/1200x630/c5149bb8d82e034d173a890731550e93/1013-sunmo-calender-1951015-640x360.jpg,2019-10-13T14:31:28Z,,0,0.0,0.0,0.0,0.0
9,the-new-york-times,The New York Times,tosh,"Silicon Valley Startups Awash in Dollars, Again (2007)",Article URL: https://www.nytimes.com/2007/10/17/business/media/17bubble.html Comments URL: https://news.ycombinator.com/item?id=21239740 Points: 3 # Comments: 0,https://www.nytimes.com/2007/10/17/business/media/17bubble.html,https://static01.nyt.com/images/icons/t_logo_291_black.png,2019-10-13T11:04:12Z,"A year ago, Yahoo invested in Right Media, a New York-based company developing an online advertising network. Yahoos investment valued the firm at $200 million. Six months later, when Yahoo acquired Right Media outright, the purchase price had swelled to $850… [+7411 chars]",0,48.0,31.0,11.0,0.0
0,cbs-news,CBS News,CBS News,On the ground in Syria as the Turkish onslaught continues,"CBS News foreign Charlie D’Agata is on the ground in Syria, where Kurds say they feel abandoned by the U.S. as Turkey moves in.",https://www.cbsnews.com/video/on-the-ground-in-syria-as-the-turkish-onslaught-continues/,https://cbsnews1.cbsistatic.com/hub/i/r/2019/10/13/0539c9b5-c5e9-4679-9b3d-cc2407f4a0f1/thumbnail/1200x630/71aeeac8388ad80b4611a5e580534f70/1013-ftn-charliedagata-1951127-640x360.jpg,2019-10-13T15:50:37Z,,0,0.0,0.0,1.0,0.0
