,source_id,source_name,author,title,description,url,url_to_image,published_at,content,top_article,engagement_reaction_count,engagement_comment_count,engagement_share_count,engagement_comment_plugin_count
71,abc-news,ABC News,The Associated Press,Swine fever: New Indonesian festival celebrates pigs,Swine fever: Christian residents in Muslim-majority Indonesia's remote Lake Toba region launch new festival celebrating pigs,https://abcnews.go.com/International/wireStory/swine-fever-indonesian-festival-celebrates-pigs-66867970,https://s.abcnews.com/images/International/WireAP_6bf86d7dbb2848c8a2cc6149fe2f5aee_16x9_992.jpg,2019-11-09T03:14:28Z,"Christian residents in Muslim-majority Indonesia's remote Lake Toba region have launched a new festival celebrating pigs that they say is a response to efforts to promote halal tourism in the area.
The festival features competitions in barbecuing, pig callin… [+1386 chars]",0,29.0,9.0,9.0,0.0
5,cbs-news,CBS News,Arshad R. Zargar,Indian court rules in favor of Hindus in dispute at heart of tension,The ruling paves the way for the building of a Hindu temple at a site where a mosque once stood,https://www.cbsnews.com/news/top-court-rules-in-favor-of-hindus-in-dispute-at-heart-of-religious-tension-in-india/,https://cbsnews1.cbsistatic.com/hub/i/r/2019/11/09/a38f0a72-88f2-45fd-bf31-bb25c186d18b/thumbnail/1200x630/fa3f6397b49d248acc0113babbe2a958/ap-19313573968778.jpg,2019-11-09T16:44:57Z,"New Delhi – India's Supreme Court ruled Saturday that a disputed piece of land in the town of Ayodhya be given to Hindus, paving the way for the building of a Hindu temple at the site where a mosque once stood for Muslim worshippers.
The verdict ends a decad… [+3214 chars]",1,0.0,0.0,2.0,0.0
11,cnn,CNN,"Shannon Liao, CNN Business",Instagram will test hiding US users' likes,Posting on Instagram can come with a rush of validation when likes from friends and strangers come pouring in. But those likes will soon be hidden for some US users.,https://www.cnn.com/2019/11/09/tech/instagram-hiding-likes-us/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190429194222-20190429-instagram-likes-super-tease.jpg,2019-11-09T16:14:06Z,,0,22.0,13.0,31.0,0.0
58,cnn,CNN,,Video shows acid attack on a Milwaukee man,"Milwaukee police say a man has been arrested after allegedly throwing acid in the face of a US citizen, who says his attacker told him to ""go back to (his) country.""",https://www.cnn.com/videos/us/2019/11/04/us-citizen-milwaukee-acid-attack-vpx.wdjt,https://cdn.cnn.com/cnnnext/dam/assets/191104035208-us-citizen-milwaukee-acid-attack-vpx-00003513-super-tease.jpg,2019-11-09T04:08:01Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,0,119.0,128.0,83.0,0.0
22,abc-news,ABC News,The Associated Press,Lebanon's president meets bankers amid liquidity crisis,Lebanon's president is meeting with several Cabinet ministers and top banking officials in search for solutions for the deepening financial and economic crisis,https://abcnews.go.com/International/wireStory/lebanons-president-meets-bankers-amid-liquidity-crisis-66876017,https://s.abcnews.com/images/International/WireAP_c28c00f289d44c329efce977bc66773b_16x9_992.jpg,2019-11-09T15:19:16Z,"Lebanon's president is meeting with several Cabinet ministers and top banking officials in search for solutions for the deepening financial and economic crisis.
The country's financial troubles have worsened since nationwide protests initially against new ta… [+547 chars]",0,0.0,0.0,3.0,0.0
37,newsweek,Newsweek,Sophia Waterfield,"Are Banks Open on Veterans Day? Bank of America, Chase, Wells Fargo, Citigroup and More","The majority of financial institutions observe Veterans Day as a holiday, however, there are some exceptions to the rule.",https://www.newsweek.com/veterans-day-will-banks-remain-open-november-11-2019-1469896,https://d.newsweek.com/en/full/1542907/veterans-day-banks-2019.jpg,2019-11-09T11:00:01Z,"November 11 marks Veterans Day in the U.S., a day where Americans pay tribute to those who serve their country in times of war and peace. Originally known as Armistice Day, it was renamed in 1954 to incorporate all veterans, rather than just soldiers that ser… [+5366 chars]",0,0.0,0.0,0.0,0.0
39,newsweek,Newsweek,Brendan Cole,"Mega Millions Results, Numbers for 11/08/2019: Did Anyone Win the $145 Million Jackpot on Friday Night?","The results, winners, numbers for Mega Millions, plus how to play, Megaplier and Just the Jackpot explained.",https://www.newsweek.com/lottery-mega-millions-11-08-2019-winner-1470772,https://d.newsweek.com/en/full/1544052/mega-millions-ticket.jpg,2019-11-09T09:29:40Z,"A life-changing jackpot was up for grabs in the Mega Millions draw on Friday but did anybody have all their numbers come up? The jackpot stood at $145 million, with a cash-value option of $96.2 million.
The Mega Millions winning numbers were: 3, 4, 10, 39, 5… [+2541 chars]",0,0.0,0.0,1.0,0.0
49,cnn,CNN,"Julia Buckley, CNN",The future of sustainable tourism may lie with all-inclusive resorts,All-inclusive resorts and package holidays are demonized as the ugly face of tourism. But travel experts say they have the potential to be the most sustainable of all vacation options. Find out how things could work better.,https://www.cnn.com/travel/article/all-inclusive-resorts-sustainable-travel/index.html,https://dynaimage.cdn.cnn.com/cnn/w_1200/http%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F191108132513-benidorm-2-super-tease.jpg,2019-11-09T08:34:04Z,"A beach heaving with bodies. Sunbeds racked up alongside the pool. High tower blocks of rooms, one packed on top of another. Tourists clustered round the buffet. All in a complex gated off from the local community.
A classic example of the kind of travel tha… [+16235 chars]",0,143.0,73.0,141.0,0.0
11,abc-news,ABC News,The Associated Press,2 skiers die in avalanche in Austrian Alps,"Authorities in southern Austria say two skiers have been killed in an avalanche in the Alps, the first of the season",https://abcnews.go.com/International/wireStory/skiers-die-avalanche-austrian-alps-66877583,null,2019-11-09T16:46:24Z,"Authorities in southern Austria say two skiers have been killed in an avalanche in the Alps, the first of the season.
Austrian broadcaster ORF reported that the men were skiing off marked tracks in the Ötztal region Saturday when they were caught in a snow s… [+181 chars]",0,0.0,0.0,3.0,0.0
45,bbc-news,BBC News,,France 10-20 England: Red Roses earn first win on French soil since 2012,England begin their autumn internationals with an impressive win over France - their first victory on French soil for seven years.,https://www.bbc.co.uk/sport/rugby-union/50359903,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/180F5/production/_109594589_gettyimages-1135550635.jpg,2019-11-09T15:08:44Z,"England have now won 10 of 11 games in 2019
<table><tr><th>Autumn internationals: France v England</th></tr>
<tr><td>France(3) 10</td></tr><tr><td>Try: Boudaud Con: Tremouliere Pen: Tremouliere </td></tr><tr><td>England (17) 20</td></tr><tr><td>Tries: Hunte… [+2286 chars]",0,393.0,10.0,52.0,0.0
24,the-new-york-times,The New York Times,Guy Trebay,"The Party Girl, Till the End","Nina Griscom, society fixture, ’80s “It” girl and tabloid regular, faces illness in fine fashion.",https://www.nytimes.com/2019/11/07/style/nina-griscom-new-york-society-ALS-requiem-for-a-fighter.html,https://static01.nyt.com/images/2019/11/07/fashion/07THSDRESSCOVER/07THSDRESSCOVER-facebookJumbo.jpg,2019-11-09T11:03:09Z,"Still, as Mr. Couturier said: When Blass or anyone dropped her, she didnt say one word against them. Never ever.
Ms. Griscom had something of an advantage over some women in her position. She had always worked. There was the modeling, and when, as they inevi… [+1282 chars]",0,392.0,209.0,93.0,0.0
76,abc-news,ABC News,The Associated Press,Virginia mother gets 20 years in starvation death of her son,The mother of a Virginia boy who died from severe starvation and neglect has been ordered to spend 20 years in prison,https://abcnews.go.com/US/wireStory/virginia-mother-20-years-starvation-death-son-66865933,null,2019-11-09T01:19:09Z,"The mother of a Virginia boy who died from severe starvation and neglect has been ordered to spend 20 years in prison.
The Richmond Times-Dispatch on Friday reported 38-year-old Amy FaJohn was sentenced to 40 years in prison, with half of that time suspended… [+643 chars]",0,2.0,0.0,3.0,0.0
31,cnn,CNN,"Analysis by Brandon Tensley, CNN",'I own it': Warren embraces her anger -- and the politics of the moment,"On Friday, Elizabeth Warren embraced the ethos of the moment: anger.",https://www.cnn.com/2019/11/09/politics/elizabeth-warren-joe-biden-anger/index.html,https://cdn.cnn.com/cnnnext/dam/assets/191105163003-03-elizabeth-warren-1101-super-tease.jpg,2019-11-09T13:35:00Z,,0,684.0,99.0,152.0,0.0
