,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
0,abc-news,ABC News,The Associated Press,At least 60 killed in Saudi-led airstrikes in Yemen,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/International/wireStory/yemeni-officials-saudi-led-airstrikes-kill-dozens-prison-65322573,https://s.abcnews.com/images/International/WireAP_c206fb411f5b42aca0fe817937e767d3_16x9_992.jpg,2019-09-01T12:36:18Z,"The Saudi-led coalition fighting Yemen's rebels attacked a detention center in the southwestern province of Dhamar with several airstrikes Sunday, killing at least 60 people and wounding several dozen, officials and the rebels' health ministry said.
The atta… [+5654 chars]"
1,abc-news,ABC News,Jon Haworth,Pope rescued by firefighters after being stuck in an elevator,Pope Francis arrived 7 minutes late for his traditional noon appointment Saint Peter’s Square in Vatican City on Sunday because he was stuck in an elevator.,https://abcnews.go.com/International/pope-rescued-firefighters-stuck-elevator-25-minutes/story?id=65324078,https://s.abcnews.com/images/International/pope-main2-190901_hpMain_20190901-064324_16x9_992.jpg,2019-09-01T11:41:00Z,"Pope Francis arrived 7 minutes late for his traditional noon appointment with the public in Saint Peters Square in Vatican City on Sunday because he was stuck in an elevator for 25 minutes, according to the Associated Press.
Interested in Pope Francis?
Add … [+828 chars]"
2,abc-news,ABC News,The Associated Press,"Latest US, Chinese tariff hikes take effect in trade war","Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/Politics/wireStory/trumps-15-tariffs-112b-chinese-goods-effect-65321654,https://s.abcnews.com/images/Politics/WireAP_429d7e6d7d9d440198e07fbb4397070d_16x9_992.jpg,2019-09-01T10:20:53Z,"The United States and China went ahead with their latest tariff increases on each other's goods Sunday, potentially raising prices Americans pay for some clothes, shoes, sporting goods and other consumer items in advance of the holiday shopping season.
Inter… [+4341 chars]"
3,abc-news,ABC News,The Associated Press,2 dozen injured in barricade collapse at Seattle music fest,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/Lifestyle/wireStory/dozen-injured-barricade-collapse-seattle-music-fest-65322571,,2019-09-01T07:53:39Z,"Officials say more than two dozen people were injured when a stage barricade collapsed during a performance at a Seattle music festival, although no one was seriously hurt.
Seattle Fire Department spokesman David Cuerpo told news outlets that around 25 peopl… [+552 chars]"
4,abc-news,ABC News,The Associated Press,"Magnitude 5.0 earthquake hits Alaska, felt in capital city","Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/US/wireStory/magnitude-50-earthquake-hits-alaska-felt-capital-city-65322054,,2019-09-01T05:17:45Z,"The Alaska Earthquake Center reports that a magnitude 5.0 earthquake hit southern Alaska. It was felt by people in the state's capital. Juneau.
Interested in Earthquakes?
Add Earthquakes as an interest to stay up to date on the latest Earthquakes news, vide… [+647 chars]"
5,abc-news,ABC News,The Associated Press,Trucker pleads guilty to California crash that killed 13,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/US/wireStory/trucker-pleads-guilty-california-crash-killed-13-65320848,https://s.abcnews.com/images/US/WireAP_3604e1e5969842f1ab2f2500877dd7ba_16x9_992.jpg,2019-09-01T03:30:04Z,"A trucker who fell asleep behind the wheel was sentenced to four years in state prison after he pleaded guilty to causing a tour bus crash on a Southern California freeway that killed 13 people in 2016, officials said.
Bruce Guilford of Covington, Georgia, f… [+1238 chars]"
6,abc-news,ABC News,The Associated Press,3 officers injured in California melee; 2 suspects arrested,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/US/wireStory/officers-injured-california-melee-suspects-arrested-65319409,,2019-09-01T01:23:00Z,"Three San Jose police officers were injured in a melee downtown as a large crowd approached them as they issued citations for drinking alcohol.
KPIX-TV reports Saturday that the large crowd ""aggressively interfered"" with the officers shortly before 2 a.m. On… [+854 chars]"
7,abc-news,ABC News,The Associated Press,"1 dead, 8 sick in hazmat incident at San Jose hotel","Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/US/wireStory/dead-injured-hazmat-incident-san-jose-hotel-65317137,https://s.abcnews.com/images/US/WireAP_ac393429b353446cbd456c6d2595b13b_16x9_992.jpg,2019-08-31T22:36:00Z,"Authorities say one woman has died and eight people have been sickened in a hazmat incident Saturday at a Northern California hotel.
KTVU reports Saturday that guests of the Fairmont Hotel in San Jose reported smelling a chemical odor similar to a rotten egg… [+968 chars]"
8,abc-news,ABC News,Emily Shapiro,"Couple, 5-year-old daughter dead in apparent murder-suicide in Houston","A husband, wife and their 5-year-old daughter were found dead in an apparent murder-suicide in Houston, leaving their family ""traumatized.""",https://abcnews.go.com/US/couple-year-daughter-dead-apparent-murder-suicide-houston/story?id=65312253,https://s.abcnews.com/images/US/police-01-as-gty-190813_hpMain_16x9_992.jpg,2019-08-31T16:47:32Z,"A husband and wife, as well as their 5-year-old daughter, were found dead in an apparent murder-suicide in Houston, leaving their family ""traumatized,"" according to local authorities.
The bodies of the 36-year-old man, 37-year-old woman and little girl were … [+763 chars]"
9,abc-news,ABC News,Sarah Varney | Kaiser Health News,Opioid makers facing US lawsuits eye new market in India,"Opioid makers, facing lawsuits in the United States, are eyeing a new market in India.",https://abcnews.go.com/Health/facing-us-lawsuits-opioid-makers-eye-market-india/story?id=65289963,https://s.abcnews.com/images/Health/india1-ht-ml-190830_hpMain_16x9_992.jpg,2019-08-31T15:44:30Z,"This is a Kaiser Health News story.
Interested in India?
Add India as an interest to stay up to date on the latest India news, video, and analysis from ABC News.
In the crowded waiting room of Dr. Sunil Sagars clinic, in the working-class neighborhood of B… [+14705 chars]"
0,al-jazeera-english,Al Jazeera English,,National Register of Citizens: Indians or not Indians?,,http://www.aljazeera.com/programmes/insidestory/2019/09/national-register-citizens-indians-indians-190901180802959.html,,2019-09-01T18:52:05.4849729Z,
1,al-jazeera-english,Al Jazeera English,Al Jazeera,Bahamas brace for impact as Hurricane Dorian closes in,"Fears of widespread, catastrophic damage as powerful Dorian turns into category 5 storm.",http://www.aljazeera.com/news/2019/09/bahamas-brace-impact-hurricane-dorian-closes-190901085244814.html,https://www.aljazeera.com/mritems/Images/2019/9/1/a21730339f1e47f0a05132f001625d32_18.jpg,2019-09-01T09:50:00Z,"Hurricane Dorian has intensified to a category 5 storm capable of inflicting catastrophic levels of destruction as it bears down on an island chain in the northern Bahamas, according to weather officials. 
The storm is expected to stall over the islands late… [+4617 chars]"
2,al-jazeera-english,Al Jazeera English,Al Jazeera,"Houthis: Saudi-led coalition bombs Yemen prison, kills dozens",Houthi officials accuse Saudi-UAE-coalition of carrying out air raids that hit detention centre in Dhamar.,http://www.aljazeera.com/news/2019/09/houthis-saudi-led-coalition-bombs-yemen-prison-kills-dozens-190901075603392.html,https://www.aljazeera.com/mritems/Images/2019/9/1/c6a514f18c7d4b15a8ad7869f719f302_18.jpg,2019-09-01T08:57:00Z,"Dozens of people have been killed when a Saudi-UAE-led military coalition battling the Houthi rebel movement bombed a prison in western Yemen, according to the rebels.
Yusuf al-Hadri, a spokesman for the Houthis' ministry of health, said at least 60 people w… [+3354 chars]"
0,business-insider,Business Insider,Christopher Woody,U-2 spy planes have lurked all over the world for 64 years — here's how the Dragon Lady keeps an eye on the battlefield,"The U-2's first flight came as an accident in 1955, but over the 64 years since, the Dragon Lady has been an unrivaled source for intelligence.",https://www.businessinsider.com/u2-spy-plane-camera-radars-gather-intelligence-over-battlefield-2019-9,https://amp.businessinsider.com/images/5d6448132e22af21dc3fe7c3-2732-1366.jpg,2019-09-01T00:00:00Z,"The 64th anniversary of the U-2 spy plane's historic, and accidental, first flight came in early August. 
 While much about the Dragon Lady has changed in the past six decades — most of the 30 or so in use now were built in the 1980s, and they no longer do o… [+9614 chars]"
1,business-insider,Business Insider,Benjamin Goggin,Video appears to show Trump golfing in Virginia in the run-up to catastrophic Hurricane Dorian,Trump traveled to Camp David over the weekend. Pool reports said Trump made a stop at his golf course and video appears to show him on the green.,https://www.businessinsider.com/trump-golfing-video-before-hurricane-dorian-arrives-in-us-2019-9,https://amp.businessinsider.com/images/5d6bf51d2e22af6cb54230c5-1920-960.jpg,2019-09-01T00:00:00Z,"President Donald Trump appeared to be playing golf Saturday, just days before states on the southeast coast were set to be battered by Category 5 Hurricane Dorian, which the National Hurrican Center has called catastrophic. 
 Official communications from the… [+2176 chars]"
2,business-insider,Business Insider,Kat Tenbarge,Tiffany Trump posted a quote from an ancient Persian poet after the president's former assistant told reporters her father didn't want to take pictures with her,Tiffany Trump posted a Rumi quote about self-love in the wake of reports that her father doesn't like to take pictures with her because of her weight.,https://www.businessinsider.com/tiffany-trump-shady-instagram-story-madeleine-westerhout-father-pictures-weight-2019-9,https://amp.businessinsider.com/images/5d6bf7612e22af6a2d0a0447-1920-960.jpg,2019-09-01T00:00:00Z,"Tiffany Trump, the president's youngest, quietest daughter, posted an empowering quote on her Instagram story on Saturday for her 1 million followers to see. In the context of the latest scandal from her father's White House administration, it comes off as a … [+2278 chars]"
3,business-insider,Business Insider,Kat Tenbarge,Trump dug at progressive actress Debra Messing between tweets on the Odessa shooting and Hurricane Dorian,"Actress Debra Messing has been critical of Trump, tweeting about exposing actors who support him and endorsing a church sign that called him racist.",https://www.businessinsider.com/trump-tweet-debra-messing-the-apprentice-sir-nbc-failed-lineup-2019-9,https://amp.businessinsider.com/images/5d6bdde32e22af61195f65b4-2560-1280.jpg,2019-09-01T00:00:00Z,"President Donald Trump shared an anecdote about ""Will &amp; Grace"" star Debra Messing on Twitter that he used to illustrate how ""times have changed"" for him and the actress, who is vocally anti-Trump. 
 On Saturday, Messing posted two tweets that ""Fox &amp; … [+1997 chars]"
4,business-insider,Business Insider,"Ellen Cranley, INSIDER","Photos and videos show Hurricane Dorian pummeling the Bahamas with rain, wind, and massive flooding","The National Hurricane Center warned residents of ""heavy rainfall,"" ""hurricane-force winds,"" and a ""life-threatening storm surge.""",https://www.businessinsider.com/hurricane-dorian-hit-the-bahamas-photos-videos-2019-9,https://static.businessinsider.com/image/5d6bddd3f4fc247183774fa8-750.jpg,2019-09-01T00:00:00Z,"Hurricane Dorian strengthened to a Category 5 storm Sunday morning as it was about to slam into the Bahamas with heavy rain, wind, and an unclear landfall path. 
 The National Hurricane Center (NHC) issued a hurricane warning early Saturday for the northwest… [+1821 chars]"
5,business-insider,Business Insider,Dan DeFrancesco,"Hong Kong protesters barricaded roads and disrupted trains to and from the airport, forcing travelers to walk",It was the second time the pro-democracy group has targeted the Hong Kong International Airport since the rallys began in June.,https://www.businessinsider.com/hong-kong-protesters-disrupted-routes-to-and-from-airport-2019-9,https://amp.businessinsider.com/images/5d6bdaab2e22af45c8783932-2732-1366.jpg,2019-09-01T00:00:00Z,"Hong Kong pro-democracy protesters barricaded roads and disrupted trains servicing Hong Kong International Airport, marking the second time the group has targeted the transportation hub. 
 Protesters blocked roads to and from the highway and threw debris on … [+1519 chars]"
6,business-insider,Business Insider,Ellen Cranley,Texas' new bundle of relaxed gun laws took effect one day after 7 were killed in mass shooting,"The laws allow gun owners in the state to carry firearms and store ammunition in public places, including churches, public schools, and foster homes.",https://www.businessinsider.com/texas-gun-laws-after-shooting-new-relaxed-2019-9,https://amp.businessinsider.com/images/5d6be3942e22af00ad14c1c2-1920-960.jpg,2019-09-01T00:00:00Z,"Several new laws will take effect in Texas that would ease restrictions for gun owners just a day after seven people were killed and 21 were shot after a suspect opened fire on authorities during a traffic stop. 
 The nine new laws automatically took effect … [+4426 chars]"
