,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
0,abc-news,ABC News,The Associated Press,Brazilians rally to support big corruption investigation,"Brazilians have rallied across the country to urge that the government keep pursuing a mammoth corruption investigation and to show support for the justice minister, who has been hit with allegations he abused his powers as a judge overseeing the probe",https://abcnews.go.com/International/wireStory/brazilians-rally-support-big-corruption-investigation-65186882,https://s.abcnews.com/images/International/WireAP_7912f43095ec441ca35b6f2c28be210a_16x9_992.jpg,2019-08-25T23:21:25Z,"Thousands of Brazilians joined demonstrations across the country Sunday to urge that the government keep pursuing a mammoth corruption investigation and to show support for the justice minister, who has been hit with allegations he abused his powers as a judg… [+1704 chars]"
1,abc-news,ABC News,Julia Jacobo,"California parents charged with hate crime for kidnapping boy found hiding in teen daughter's closet, police say",The parents of a 15-year-old California girl are being charged with a hate crime after they allegedly kidnapped and abused a boy they found in their daughter's closet.,https://abcnews.go.com/US/california-parents-charged-hate-crime-kidnapping-boy-found/story?id=65185874,https://s.abcnews.com/images/US/closet-1-abc-er-190825_hpMain_16x9_992.jpg,2019-08-25T22:59:44Z,"The parents of a 15-year-old California girl are being charged with a hate crime after they allegedly kidnapped and abused their daughter's boyfriend after they found him hiding in the home, according to police.
On Thursday afternoon, the 17-year-old victim … [+2541 chars]"
2,abc-news,ABC News,The Associated Press,Attorneys: Charges expected in Florida nursing home deaths,Defense attorneys say arrests are expected in the case of a Florida nursing home where 12 patients died after air conditioning power was lost amid sweltering heat following a 2017 hurricane,https://abcnews.go.com/Health/wireStory/attorneys-charges-expected-florida-nursing-home-deaths-65186317,https://s.abcnews.com/images/US/WireAP_b289feadb8024e8285823b8775c4dd35_16x9_992.jpg,2019-08-25T22:46:57Z,"Defense attorneys said Sunday that arrests are expected shortly in the case of a Florida nursing home where 12 elderly patients died after the complex lost power and was engulfed by sweltering heat when powerful Hurricane Irma struck in 2017.
Lawrence Hashis… [+2987 chars]"
3,abc-news,ABC News,The Associated Press,Attorneys: Charges expected in Florida nursing home deaths,Defense attorneys say arrests are expected in the case of a Florida nursing home where 12 patients died after air conditioning power was lost amid sweltering heat after a 2017 hurricane,https://abcnews.go.com/US/wireStory/attorneys-charges-expected-florida-nursing-home-deaths-65186310,https://s.abcnews.com/images/US/WireAP_b289feadb8024e8285823b8775c4dd35_16x9_992.jpg,2019-08-25T22:38:05Z,"Defense attorneys say arrests are expected in the case of a Florida nursing home where 12 patients died amid sweltering heat after air conditioning power was lost after a 2017 hurricane.
Attorney Lawrence Hashish told The Associated Press on Sunday that his … [+606 chars]"
4,abc-news,ABC News,Julia Jacobo,Lawyer fatally rammed Mercedes into victim after golf ball hit car: Prosecutors,"An Atlanta attorney has been charged with murder after he rammed his Mercedes sedan into a real estate investor, killing him, according to authorities.",https://abcnews.go.com/US/atlanta-lawyer-killed-victim-mercedes-car-struck-golf/story?id=65183950,https://s.abcnews.com/images/US/lawyer-golf-er-190825_hpMain_16x9_992.jpg,2019-08-25T22:01:57Z,"An Atlanta attorney has been charged with murder after he fatally rammed his Mercedes sedan into a real estate investor, according to authorities.
The encounter began after 60-year-old Hamid Jahangard ""accidentally"" hit the 2011 Mercedes CLS550 belonging to … [+3154 chars]"
5,abc-news,ABC News,Bill Hutchinson,'This is urgent': Mayor announces reward in string of fatal child shootings,"Third-grader Jurnee Thompson, 8, was fatally shot outside a St. Louis restaurant.",https://abcnews.go.com/US/risk-st-louis-mayor-string-fatal-child-shootings/story?id=65178997,https://s.abcnews.com/images/US/police-gty-er-190801_hpMain_16x9_992.jpg,2019-08-25T22:00:15Z,"For the second time since classes resumed at public schools in St. Louis this month, grief counselors will be on hand at an elementary school on Monday to comfort friends of 8-year-old Jurnee Thompson, a third-grader gunned down while standing in front of a r… [+5877 chars]"
6,abc-news,ABC News,The Associated Press,Pastor whose child was shot at Texas church runs for office,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/Politics/wireStory/pastor-lost-child-texas-church-attack-runs-office-65183639,,2019-08-25T21:44:11Z,"A Texas pastor whose teenage daughter was among more than two dozen people killed in a mass shooting at his church in 2017 said Sunday that he will run as a Republican next year for a seat in the state Legislature.
Frank Pomeroy whose 14-year-old daughter, A… [+3536 chars]"
7,abc-news,ABC News,The Associated Press,Tropical Storm Dorian strengthens as it moves west,"Forecasters say Dorian, the fourth tropical storm of the Atlantic hurricane season, has strengthened as it moves toward the Lesser Antilles",https://abcnews.go.com/Travel/wireStory/tropical-storm-dorian-strengthens-moves-west-65185773,,2019-08-25T21:41:11Z,"Forecasters say the fourth tropical storm of the Atlantic hurricane season has strengthened as it moves toward the Lesser Antilles.
The U.S. National Hurricane Center said Sunday that Tropical Storm Dorian could intensify to near hurricane strength over the … [+556 chars]"
8,abc-news,ABC News,The Associated Press,"Journalist slain in Mexico promised readers ""activism""","Mexico's National Human Rights Commission says a 12th journalist has been slain this year in the country, which is one of the world's deadliest for the profession",https://abcnews.go.com/International/wireStory/journalist-slain-mexico-promised-readers-activism-65184637,,2019-08-25T21:03:11Z,"Mexico's National Human Rights Commission says a 12th journalist has been slain this year in the country, which is one of the world's deadliest for the profession.
Local media outlets identify the victim as Nevith Condés Jaramilllo, founder of a news website… [+481 chars]"
9,abc-news,ABC News,The Associated Press,Sudanese police: Tribal clashes kill 17 in eastern port city,Sudan's police have released a statement saying clashes between two tribes in an eastern port city killed 17 people in three days,https://abcnews.go.com/International/wireStory/sudanese-police-tribal-clashes-kill-17-eastern-port-65184433,,2019-08-25T20:42:56Z,"Sudan's police have released a statement saying clashes between two tribes in an eastern port city have killed 17 people in three days.
The violence led Sudan's new joint military-civilian council formed just last week to declare a state of emergency in Port… [+469 chars]"
