,source_id,source_name,author,title,description,url,url_to_image,published_at,content,top_article,engagement_reaction_count,engagement_comment_count,engagement_share_count,engagement_comment_plugin_count,harvested_at_date,title_embedding_1,title_embedding_2,title_embedding_3,title_embedding_4,title_embedding_5,title_embedding_6,title_embedding_7,title_embedding_8,title_embedding_9,title_embedding_10,content_embedding_1,content_embedding_2,content_embedding_3,content_embedding_4,content_embedding_5,content_embedding_6,content_embedding_7,content_embedding_8,content_embedding_9,content_embedding_10,content_embedding_11,content_embedding_12,content_embedding_13,content_embedding_14,content_embedding_15,content_embedding_16,content_embedding_17,content_embedding_18,content_embedding_19,content_embedding_20,content_embedding_21,content_embedding_22,content_embedding_23,content_embedding_24,content_embedding_25,content_embedding_26,content_embedding_27,content_embedding_28,content_embedding_29,content_embedding_30,content_embedding_31,content_embedding_32,content_embedding_33,content_embedding_34,content_embedding_35,content_embedding_36,content_embedding_37,content_embedding_38,content_embedding_39,content_embedding_40,content_embedding_41,content_embedding_42,content_embedding_43,content_embedding_44,content_embedding_45,content_embedding_46,content_embedding_47,content_embedding_48,content_embedding_49,content_embedding_50,publish_harvest_time_period
0,the-new-york-times,The New York Times,Sean McElwee and Brian F. Schaffner,How Democrats Can Win Back Obama-Trump Defectors,They don’t have to lose their souls to do it. Just the opposite.,https://www.nytimes.com/2020/01/06/opinion/obama-trump-voters.html,https://static01.nyt.com/images/2020/01/06/opinion/06mcelwee-schaffner1/06mcelwee-schaffner1-facebookJumbo.jpg,2020-01-06T10:00:12Z,"In the aftermath of Donald Trumps 2016 election victory, analysts fiercely debated the role of the approximately six million voters who supported President Barack Obama in 2012 but shifted their support to Mr. Trump in 2016. Democratic strategists also had to… [+2340 chars]",0.0,36.0,22.0,87.0,0.0,2020-01-06_15:41:12,0.28980967,-0.14472286,-0.117439285,0.3105378,0.05827643,0.02766382,0.12764236,0.235194,0.12596814,0.29551658,0.14776264,-0.04810289,-0.12245045,0.29215807,0.13390726,0.2690862,0.34068424,0.15368307,0.21456015,0.26555985,-0.055250302,-0.009538062,-0.06616646,-0.07176969,-0.19627169,-0.3443941,0.25272727,-0.069574945,-0.032482468,0.2150606,0.011334304,-0.007922513,-0.14651519,-0.13366315,-0.38652122,0.18261315,0.32278126,-0.110973075,-0.016147893,0.04366878,-0.35957295,-0.113429524,0.063934274,0.10016488,0.34491938,-0.19077225,-0.1176638,0.15453647,0.21098004,-0.35961,0.17872746,0.07264225,-0.25058034,0.11690943,0.39999953,-0.23690766,0.045972496,-0.055636153,-0.25843856,-0.44084302,281.0
1,cnn,CNN,"By <a href=""/profiles/meg-wagner"">Meg Wagner</a> and <a href=""/profiles/eliza-mackintosh"">Eliza Mackintosh</a>, CNN",The latest on the US-Iran crisis,The US is sending thousands of additional troops to the Middle East as tensions grow following the killing of Iran's top general. Follow here for the latest.,https://www.cnn.com/middleeast/live-news/us-iran-soleimani-tensions-intl-01-06-20/index.html,https://www.cnn.com//cdn.cnn.com/cnnnext/dam/assets/200103161905-qassem-soleimani-super-tease.jpg,2020-01-06T13:29:13Z,"Days after President Trump ordered a drone strike that killed Qasem Soleimani, the powerful commander of Iran's elite Quds Force, the US is bracing for possible retaliatory actions by Iran.
Before the strike, the US had been pushed to the brink of retaliatio… [+1770 chars]",0.0,0.0,0.0,23.0,0.0,2020-01-06_15:41:12,0.21076182,-0.16422904,-0.059946515,0.2711304,0.0578646,0.06427467,0.12887073,0.124765575,0.08273661,0.24407126,0.9265819,-0.14777444,0.0074156863,0.42987075,-0.008164554,-0.05308019,0.62075335,0.15117148,0.050981484,0.720872,0.26936397,0.20111445,0.73786986,0.30606574,-0.00127379,-0.4303484,0.76932126,-0.547617,-0.34478036,0.23699778,0.16699359,0.34824204,-0.32854044,-0.074968465,-0.33302447,0.5731243,0.4163971,0.2929885,0.0711487,0.19704384,-0.24004914,-0.23724788,-0.096447445,0.07723562,-0.02710764,-0.36357614,0.1069796,0.46215326,0.22265442,0.14240655,0.26816127,0.04820969,-0.7849663,0.17999782,0.38634264,-0.60868394,0.10649265,-0.15786937,-0.59599507,-0.25694016,71.98333333333333
2,cnn,CNN,Opinion by Michael Ware,The US and Iran have been at war for 40 years. Trump just went all in,"US President Donald Trump says he ordered the assassination on Friday of Iran's top general, Qasem Soleimani, ""to stop a war."" But that's simply not true.",http://us.cnn.com/2020/01/05/opinions/us-iran-history-ware-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200103073119-qasem-soleimani-super-tease.jpg,2020-01-06T10:00:18Z,"Michael Ware is a former Time magazine and CNN correspondent who was based in Baghdad from 2003 to 2009.
 (CNN)US President Donald Trump says he ordered the assassination on Friday of Iran's top general, Qasem Soleimani, ""to stop a war."" But that's simply no… [+5331 chars]",1.0,0.0,0.0,0.0,0.0,2020-01-06_15:41:12,-0.098342285,0.014926675,0.0073818434,-0.04053637,-0.04625714,0.005605911,-0.005205839,-0.033419766,0.009148329,-0.03669214,0.4900293,-0.08722378,-0.055890776,0.3102921,0.054653388,0.041694615,0.35869855,0.12313655,0.10097331,0.44183853,0.09711569,0.078474775,0.42043355,0.2253475,-0.04120445,-0.28892377,0.4745557,-0.25168672,-0.20258069,0.21310148,0.12834802,0.19799674,-0.17358005,-0.051986877,-0.2992115,0.42923194,0.311014,0.060581576,0.0412293,0.13859981,-0.24767691,-0.16814192,-0.04596748,0.094966605,0.12278642,-0.263844,-0.019542541,0.2899677,0.11210155,-0.14960328,0.23227872,0.042240843,-0.43526196,0.12801115,0.27110326,-0.30399796,0.09420879,-0.052057452,-0.38243648,-0.20815636,280.9
3,the-irish-times,The Irish Times,Freya McClements,People in Border areas are asked to help shape new EU programme,Peace Plus scheme could be worth over €600m for the North and six counties in Republic,https://www.irishtimes.com/news/ireland/irish-news/people-in-border-areas-are-asked-to-help-shape-new-eu-programme-1.4131098,https://www.irishtimes.com/image-creator/?id=1.4131092&origw=1200,2020-01-06T02:58:53Z,"People in Border areas are being asked to help shape a future EU programme expected to be worth more than 600 million. 
The EUs Peace Plus programme, which will run from 2021-2027, will fund activities related to peace and reconciliation and to economic and … [+2532 chars]",0.0,0.0,0.0,3.0,0.0,2020-01-06_15:41:12,0.5613302,-0.24111506,-0.22470576,0.5322573,0.009756487,0.12152905,0.16893011,0.26949215,0.18991858,0.5001711,0.18799843,-0.19257626,-0.03848025,0.3000967,0.012014668,0.04332587,0.09958107,-0.1130939,0.11432088,0.27777067,-0.11196048,-0.13426048,0.23106155,-0.12397784,0.16107441,0.08258242,0.03151906,0.002496965,0.0068176,-0.084745705,-0.1537092,0.29106957,0.0772418,0.14768368,-0.4101083,-0.19382766,-0.010098729,-0.0054323166,-0.030595873,0.18711413,-0.23466939,-0.050259795,0.07490013,-0.17629632,-0.22708,-0.120220535,0.06991376,0.11250693,-0.0870835,0.09066763,-0.073193826,0.0539421,0.0794474,-0.013021373,0.042454794,-0.03483028,-0.15862998,-0.13115737,-0.05500519,-0.028107379,702.3166666666667
4,the-new-york-times,The New York Times,Maggie Haberman,Trump Reiterates Threat to Target Iranian Cultural Sites,"Such a move could be a war crime, but the president argued: “They’re allowed to use roadside bombs and blow up our people. And we’re not allowed to touch their cultural site? It doesn’t work that way.”",https://www.nytimes.com/2020/01/05/us/politics/trump-iran-cultural-sites.html,https://static01.nyt.com/images/2020/01/05/multimedia/05dc-trump/05dc-trump-facebookJumbo.jpg,2020-01-06T00:53:23Z,"WASHINGTON President Trump on Sunday evening doubled down on his claim that he would target Iranian cultural sites if Iran retaliated for the targeted killing of one of its top generals, breaking with his secretary of state over the issue. 
Aboard Air Force … [+720 chars]",0.0,90917.0,30141.0,15411.0,0.0,2020-01-06_15:41:12,0.22487333,-0.11159814,-0.21548595,0.2993744,0.0040441956,0.016508477,0.14686462,0.14370951,0.10264727,0.343377,0.6850629,-0.01606554,-0.0973145,0.23807086,0.074428014,0.009289715,0.49830416,0.23420212,0.0150875,0.44145575,0.2990014,0.2805021,0.54700613,0.34117204,-0.1719965,-0.52356213,0.68926007,-0.41078287,-0.33074564,0.30956724,0.26488543,0.063720755,-0.35504046,-0.14059475,-0.14035128,0.6662048,0.39399838,0.15746985,0.07827431,0.0020310115,-0.16179892,-0.2627644,-0.13579258,0.17968853,0.2984119,-0.2546742,0.04376023,0.30276418,0.29091987,-0.18463887,0.40580148,0.016760388,-0.7513978,0.116445564,0.3908826,-0.51137215,0.24879383,-0.06751399,-0.55675125,-0.30933824,827.8166666666667
5,abc-news,ABC News,DARKO BANDIC Associated Press,Croatia's ruling conservatives to analyze loss of presidency,Croatia's ruling conservatives say they will probe why their candidate lost a presidential election to prepare for the upcoming parliamentary vote later this year,https://abcnews.go.com/International/wireStory/croatias-ruling-conservatives-analyze-loss-presidency-68094513,https://s.abcnews.com/images/International/WireAP_91a927a09ab14718a8b22e459e471846_16x9_992.jpg,2020-01-06T13:38:35Z,"ZAGREB, Croatia -- 
Croatia's ruling conservatives said Monday they will analyze why their candidate lost a presidential election to a leftist challenger in order to prevent this from happening again at the upcoming parliamentary vote later this year.
The a… [+3138 chars]",0.0,0.0,0.0,3.0,0.0,2020-01-06_15:41:12,0.29508218,-0.12534742,-0.17060554,0.36681855,0.0397537,0.081817456,0.12593016,0.15011199,0.14208071,0.28285527,0.20888755,-0.16483547,-0.13310324,0.38766646,-0.037060905,-0.00033062362,0.067796245,-0.080174044,0.20029958,0.46508142,-0.18462099,-0.103205025,0.43751296,-0.13876706,0.16698714,0.11136,0.07244342,0.006622998,-0.091432184,-0.04312182,-0.15955183,0.47814277,0.1317052,0.09402143,-0.6168046,-0.06329015,0.15870474,0.052702524,0.0711689,0.40240523,-0.21855769,-0.13652807,0.047175962,-0.18857878,-0.25858992,-0.20332834,0.08124831,0.1604682,-0.109536804,0.016339108,-0.048511766,-0.03955501,0.05277617,0.041743234,0.14475141,0.07188881,-0.11865506,-0.14393492,-0.10622435,-0.010505276,62.61666666666667
6,cnn,CNN,,What a shot! 26 amazing sports photos,Take a look at 26 amazing sports photos from December 29 through January 5.,https://edition.cnn.com/2020/01/05/sport/gallery/what-a-shot-sports-0105/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200105190610-18-what-a-shot-0105-restricted-super-tease.jpg,2020-01-06T04:12:43Z,,0.0,0.0,0.0,5.0,0.0,2020-01-06_15:41:12,0.53277427,-0.23965722,-0.24619953,0.60340345,0.08498259,0.025481323,0.22280166,0.39103588,0.2371589,0.5407808,0.030218752,-0.021003908,-0.018698921,0.051794227,0.0009914006,-0.006005991,0.017049294,-0.011414614,0.019480579,0.05148797,-0.009156183,0.0011979014,0.060317006,0.0016431704,0.014872977,-0.0029766047,0.023849502,-0.018211242,-0.008723758,-0.0063815676,-0.012992444,0.04599216,-0.0019350018,0.006729778,-0.04389315,-0.009286505,0.008727759,0.0044051455,-0.007747007,0.026540348,-0.02767766,-0.0050196797,0.0095316935,-0.017182035,-0.022182379,-0.028908253,0.011945852,0.017444339,-0.010340103,0.01849286,0.007988952,0.019154355,-0.0035423066,0.006374456,0.020367656,-0.010170829,-0.016560417,-0.018401798,-0.020128788,0.007931234,628.4833333333333
7,newsweek,Newsweek,Shane Croucher,Ricky Gervais Calls Hollywood Stars Jeffrey Epstein's Friends During Golden Globes Opening Monologue,The British comedian Ricky Gervais hit back as the Golden Globes audience groaned at his Jeffrey Epstein jokes during his fifth hosting of the annual awards show.,https://www.newsweek.com/golden-globes-ricky-gervais-opening-monologue-jeffrey-epstein-1480502,https://d.newsweek.com/en/full/1557659/golden-globes-ricky-gervais-opening-monologue-jokes.jpg,2020-01-06T08:30:54Z,"Golden Globes host Ricky Gervais joked about Jeffrey Epstein during his opening monologue, skewering Hollywood stars in the audience about their past relationships with the late pedophile financier.
Gervais riffed about the rise of Netflix and his own show A… [+2257 chars]",0.0,59.0,13.0,13.0,0.0,2020-01-06_15:41:12,0.6154357,-0.3019396,-0.32597014,0.59533095,0.16698873,0.13777985,0.18658465,0.38726914,0.29694802,0.5576953,-0.17904323,-0.050133523,-0.31309447,0.17458862,0.1737414,-0.27860194,-0.6982742,0.3873328,0.27806604,0.22898984,-0.43249893,0.09097315,0.9800035,0.06643695,0.13104366,0.5206345,-0.5029929,0.18181981,-0.17866084,0.00267086,-0.07301608,0.48597386,0.13471891,0.42711687,-0.4854756,0.038411673,-0.14719462,-0.1536389,0.12988268,0.5380316,-0.18146758,-0.12191734,-0.11546608,-0.20000103,-0.09726719,-0.081969105,-0.025359375,-0.030812535,-0.48467204,-0.2683469,0.22456284,0.035126116,0.17956077,-0.15676206,-0.29516193,0.3142298,0.25104284,0.04033681,-0.007202638,0.3545603,370.3
8,the-new-york-times,The New York Times,Helen Sullivan and Diego Ibarra Sanchez,"To Save Lebanon’s Birds, a Conservationist Invokes Tradition",Lebanon is a byway for migratory birds. This scientist devised a clever plan to protect them from hunting.,https://www.nytimes.com/2020/01/06/science/lebanon-birds-hunting-conservation.html,https://static01.nyt.com/images/2020/01/07/science/00SCI-LEBANONBIRDS1/merlin_164223138_712bff7e-bb75-4d5e-8301-6c54bee6397c-facebookJumbo.jpg,2020-01-06T10:00:31Z,"That gave me the shock of my life, he said. His binoculars revealed a different way of viewing nature: When you go to the field as a hunter with a gun, you dont see the bird. The minute you flush it, you shoot. 
Watching the bobwhite mother protect her chick… [+1384 chars]",0.0,39.0,3.0,53.0,0.0,2020-01-06_15:41:12,0.26714107,-0.1887844,-0.13105105,0.3715985,0.08356688,0.04044338,0.15389657,0.18388171,0.12798953,0.24152726,0.14367744,-0.16801105,-0.08659337,0.26731887,-0.0057462514,-0.020644983,-0.057849012,-0.036575656,0.11149456,0.28147152,-0.13592157,-0.058135714,0.3713683,-0.057713624,0.15272653,0.16372073,-0.056630976,-0.001875473,-0.014685087,-0.07015073,-0.09297234,0.40193594,0.08019401,0.13429801,-0.4480762,-0.1253701,0.016863253,0.010359936,0.005574869,0.3079621,-0.1324002,-0.106039934,0.04254472,-0.1856817,-0.21146834,-0.10804246,0.05842471,0.12260553,-0.107782364,0.07110831,-0.062041204,0.007453382,0.08467252,0.019565862,0.03616941,0.03831072,-0.13903166,-0.12684284,-0.0919871,0.021391561,280.68333333333334
10,the-new-york-times,The New York Times,Reuters,Internet of Things Security Firm Armis in Talks to Be Acquired-Media - The New York Times,"Cybersecurity firm Armis, which specialises in protection for the Internet of Things (IoT), is in talks to be bought by a U.S. tech firm for around $1 billion (764.5 million pounds), Israeli financial media outlets reported on Monday.",https://www.nytimes.com/reuters/2020/01/06/business/06reuters-cyber-m-a-armis.html,https://static01.nyt.com/newsgraphics/images/icons/defaultPromoCrop.png,2020-01-06T08:03:00Z,"JERUSALEM Cybersecurity firm Armis, which specialises in protection for the Internet of Things (IoT), is in talks to be bought by a U.S. tech firm for around $1 billion (764.5 million pounds), Israeli financial media outlets reported on Monday.
The Calcalist… [+626 chars]",0.0,0.0,0.0,1.0,0.0,2020-01-06_15:41:12,0.4964264,-0.14005919,-0.1465057,0.5043063,0.031654626,0.09257766,0.14996126,0.27079466,0.2447269,0.43376774,0.086546674,-0.15813957,-0.017368017,0.15287402,-0.041411243,0.012912822,0.03578344,-0.14624932,0.03605347,0.14082922,-0.064859845,-0.11708878,0.11345886,-0.0953802,0.14254129,0.15027687,-0.01976388,0.020654434,0.04251562,-0.09300039,-0.103216514,0.1834708,0.097530775,0.07978897,-0.2084605,-0.20440479,-0.07496995,0.027191056,-0.05773044,0.13201608,-0.09044837,-0.03954306,0.073656686,-0.16246259,-0.19886865,-0.020262374,0.085353866,0.057663612,-0.06535566,0.13328266,-0.1124924,0.01239524,0.14830408,-0.027069937,0.026095225,0.014244377,-0.13727,-0.12031998,0.015622838,0.017741054,398.2
